Background,Clothing,Ear,Eyes,Face,Hair,Headgear,Mouth,Neck,Offhand,Special,Type,Unnamed: 0,image,name,num
Off White C,Kung Fu Shirt,,Determined,,Brown Disheveled,Black Bucket Hat,Growl,,Kanabo,,Human,2087.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2087.png,Azuki #2087,2087
Off White A,Azuki Sweater,,Daydreaming,,Blue Pink Ombre Flowy,Broken Straw Hat,Frown,Beads,Water Orb,,Human,2088.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2088.png,Azuki #2088,2088
Red,Blue Bomber,,Concerned,,Green Flowy,,Lipstick,,Umbrella,,Human,2089.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2089.png,Azuki #2089,2089
Off White D,Camo Hoodie,,Pierced Eyebrow,Reading Glasses,Indigo Disheveled,,Closed,,Earth,,Human,2090.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2090.png,Azuki #2090,2090
Off White C,Black Yukata,Chill,Focused,,Powder Blue Disheveled,,Wheat Straw,Towel,,,Human,2091.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2091.png,Azuki #2091,2091
Off White A,Red Floral Kimono,Blue Tassel,Striking,Round Purple Sunglasses,Blonde Bun,,Smoking,,Umbrella,,Human,2092.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2092.png,Azuki #2092,2092
Off White B,Blue Kimono with Bow,Spiked Ring,Closed,Eye Patch,Violet Flowy,Backwards Cap,Laughing,Beads,,,Human,2093.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2093.png,Azuki #2093,2093
Off White B,Turquoise Kimono,,Closed,,Indigo Pixie,,Face Mask,,Bean Juice,,Human,2094.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2094.png,Azuki #2094,2094
Dark Purple,Azuki Tech Jacket,,Daydreaming,,Magenta Pigtails,,Toothpick,,Kanabo,,Human,2095.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2095.png,Azuki #2095,2095
Off White B,White T-Shirt,,Pierced Eyebrow,Red Fang Face Paint,Silver Spiky,Sandogasa,Toothpick,,,,Human,2096.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2096.png,Azuki #2096,2096
Off White C,Alpine Jacket,,Closed,,Violet Flowy,,Lipstick,,Leather Katana,,Human,2097.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2097.png,Azuki #2097,2097
Off White C,Black Bomber,,Pensive,,Indigo Long,,Not Bad,Beads,,,Human,2098.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2098.png,Azuki #2098,2098
Cool Gray,Red Panda T-Shirt,,Suspicious,,Magenta Messy,,Chuckle,,Katana,Fireflies,Human,2099.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2099.png,Azuki #2099,2099
Off White B,Matsuri Happi,,Closed,,Brown Disheveled,,Growl,,Fan,,Human,2100.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2100.png,Azuki #2100,2100
Off White D,Red Floral Kimono,Corded Earbuds,Determined,,Pink Hairband,,Lipstick,,Monk Staff,,Human,2101.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2101.png,Azuki #2101,2101
Off White A,Red Ninja Top,,Red,,Pink Hairband,,Chewing,,Fan,,Human,2102.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2102.png,Azuki #2102,2102
Off White D,Azuki Tech Jacket,,Determined,Red Fang Face Paint,Blue Samurai,Broken Straw Hat,Relaxed,,,,Human,2103.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2103.png,Azuki #2103,2103
Off White C,Red Panda T-Shirt,,Indifferent,Red Fang Face Paint,Indigo Swept Back,,Smirk,,,,Human,2104.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2104.png,Azuki #2104,2104
Red,Red Perfecto Jacket,,Chill,,Blonde Long,,Smoking,Sneakers,Zanbato,,Human,2105.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2105.png,Azuki #2105,2105
Off White A,White T-Shirt,,Curious,,Green Samurai,,Meh,,,,Human,2106.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2106.png,Azuki #2106,2106
Off White B,Vest,,Striking,,Green Pigtails,Yellow Kanzashi,Bubble Gum,,,,Human,2107.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2107.png,Azuki #2107,2107
Off White D,Azuki Track Jacket,Chiyogami,Indifferent,,Maroon Fluffy,Full Bandana,Relaxed,,Golden Sheathed Katana,,Human,2108.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2108.png,Azuki #2108,2108
Off White B,Brown Yukata,,Chill,,Orange Short Spiky,Broken Straw Hat,Smirk,Towel,Fan,,Human,2109.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2109.png,Azuki #2109,2109
Off White A,Camo Hoodie,,Meditating,,Brown Samurai,,Chuckle,,Banner,,Human,2110.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2110.png,Azuki #2110,2110
Red,Red Hoodie,,Closed,Ji Eyeband,Blonde Swept Back,Red Panda Baseball Cap,Chuckle,,Skateboard,,Human,2111.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2111.png,Azuki #2111,2111
Cool Gray,Green Yukata,Chiyogami,Closed,,Maroon Fluffy,Cowboy Hat,Smirk,,Hand Seal,,Red,2112.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2112.png,Azuki #2112,2112
Off White B,Light Armor,,Amethyst,,Purple Bun,Frog Beanie,Bubble Gum,,,,Human,2113.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2113.png,Azuki #2113,2113
Off White A,Tank Top,Corded Earbuds,Joyful,Red Bandana,Blue Bob,,Smile,,Bean Juice,,Human,2114.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2114.png,Azuki #2114,2114
Off White C,Black Yukata,,Careless,Lipstick Kiss,Brown Messy,,Meh,,Lantern,,Human,2115.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2115.png,Azuki #2115,2115
Off White D,Frog Hoodie,,Joyful,,Pink Flowy,Pointy Straw Hat,Frown,,,,Human,2116.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2116.png,Azuki #2116,2116
Cool Gray,Red Ninja Top,,Striking,,Maroon Bob,Backwards Cap,Laughing,Zen Headphones,,,Human,2117.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2117.png,Azuki #2117,2117
Off White C,Light Armor,Wireless Earbuds,Closed,,Indigo Ponytail,,Lipstick,,Zanbato,,Human,2118.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2118.png,Azuki #2118,2118
Off White D,Bloody Bomber,,Tired,Lipstick Kiss,Teal Messy,,Relaxed,Zen Headphones,,,Human,2119.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2119.png,Azuki #2119,2119
Off White B,Vest,,Closed,Seer Eyeband,Silver Long,,Scroll,Tribal Tattoo,Floorsweeper,,Human,2120.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2120.png,Azuki #2120,2120
Off White A,Rain Jacket,,Ruby,Blue Sunglasses,Blue Bun,,Closed,,,,Human,2121.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2121.png,Azuki #2121,2121
Off White A,Sloth Kimono,Ear Cuffs,Hopeful,,Blue Bun,,Lipstick,Beads,Leather Katana,,Human,2122.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2122.png,Azuki #2122,2122
Dark Purple,Sloth T-Shirt,,Joyful,Round Blue Sunglasses,Violet Flowy,Backwards Cap,Frown,,,,Human,2123.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2123.png,Azuki #2123,2123
Off White D,Black Kimono,,Bored,Kabuki Facepaint,Black Swept Back,Cowboy Hat,Growl,,,,Human,2124.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2124.png,Azuki #2124,2124
Red,Denim Jacket,,Curious,,Black Pink Long,,Relaxed,,Bat,,Human,2125.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2125.png,Azuki #2125,2125
Off White C,Dress Shirt,Corded Earbuds,Relaxed,,Maroon Bob,Purple Kanzashi,Grass,,,,Human,2126.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2126.png,Azuki #2126,2126
Off White D,Cat Hoodie,,Ruby,,Silver Hairband,Cat Headband,Grass,,,,Human,2127.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2127.png,Azuki #2127,2127
Red,Suit with Turtleneck,,Meditating,,Brown Samurai,Horns,Bubble Gum,,,,Human,2128.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2128.png,Azuki #2128,2128
Dark Blue,Red Panda Hoodie,,Daydreaming,,Brown Flowy,,Closed,,,,Human,2129.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2129.png,Azuki #2129,2129
Off White A,Archer,,Bored,,Indigo Messy,,Relaxed,,Zanbato,,Human,2130.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2130.png,Azuki #2130,2130
Red,Hoodie,,Relaxed,Reading Glasses,Silver Pixie,,Smoking,Choker,Guitar,,Human,2131.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2131.png,Azuki #2131,2131
Off White D,Bloody Bomber,Red Tassel,Ruby,Eye Scar,Blonde Bun,Purple Kanzashi,Frown,,Gloves,,Human,2132.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2132.png,Azuki #2132,2132
Off White B,Blue Kimono,,Suspicious,,Blonde Swept Back,,Whistling,,,,Human,2133.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2133.png,Azuki #2133,2133
Off White A,Camo Hoodie,,Closed,,Maroon Bob,,Relaxed,,,,Human,2134.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2134.png,Azuki #2134,2134
Dark Purple,Red Hoodie,,Chill,Blue Sunglasses,Silver Disheveled,,Closed,,,,Blue,2135.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2135.png,Azuki #2135,2135
Off White D,Blue Floral Kimono,,Concerned,,Indigo Bangs,Horns,Grass,,,,Human,2136.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2136.png,Azuki #2136,2136
Off White B,Brown Yukata,,Careless,Eye Scar,Blue Spiky,,Growl,,,,Human,2137.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2137.png,Azuki #2137,2137
Off White A,Black Bomber,,Striking,Red Bandana,Maroon Bun,,Relaxed,Koi Tattoo,Monkey King Staff,,Human,2138.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2138.png,Azuki #2138,2138
Off White D,Black Blazer,Sakura,Pensive,,Blonde Swept Back,,Bubble Gum,Chain,Katana,,Human,2139.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2139.png,Azuki #2139,2139
Off White C,Light Armor,,Concerned,,Teal Hairband,,Lipstick,,Leather Katana,,Human,2140.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2140.png,Azuki #2140,2140
Off White A,Lavender Kimono with Bow,Corded Earbuds,Calm,,Teal Hairband,,Grin,,,,Human,2141.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2141.png,Azuki #2141,2141
Off White C,White Hoodie,,Pierced Eyebrow,,Long Dreadlocks,Full Bandana,Relaxed,,Golden Katana,,Human,2142.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2142.png,Azuki #2142,2142
Off White D,Plated Samurai Armor,,Meditating,,Buzzcut,Sloth Headband,Bubble Gum,Chill Headphones,,,Human,2143.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2143.png,Azuki #2143,2143
Off White D,Brown Yukata,,Meditating,,Blonde Swept Back,,Closed,,Zanbato,,Human,2144.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2144.png,Azuki #2144,2144
Dark Blue,White Qipao with Fur,,Striking,Round Blue Sunglasses,Spirit Ponytail,,Lipstick,Contract Tattoo,Golden Shuriken,Fireflies,Spirit,2145.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2145.png,Azuki #2145,2145
Off White B,White Hoodie,,Hopeful,,Blonde Hairband,,Lipstick,,,,Human,2146.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2146.png,Azuki #2146,2146
Off White D,Kung Fu Shirt,Square Stud,Bored,Black Glasses,Teal Messy,,Growl,,,,Human,2147.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2147.png,Azuki #2147,2147
Cool Gray,Blue Kimono with Bow,,Calm,Red Fang Face Paint,Magenta Pigtails,Chef Headband,Smirk,,Sakura Katana,,Red,2148.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2148.png,Azuki #2148,2148
Off White A,Camo Tech Jacket,,Joyful,Reading Glasses,Green Flowy,,Frown,Tribal Tattoo,,,Human,2149.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2149.png,Azuki #2149,2149
Off White D,Bloody Bomber,,Daydreaming,Blush,Green Ponytail,,Wheat Straw,Chill Headphones,Shinai,,Human,2150.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2150.png,Azuki #2150,2150
Off White A,Black Bomber,,Closed,,Blonde Pixie,,Relaxed,,Katana,,Human,2151.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2151.png,Azuki #2151,2151
Off White C,Shinto Robe,,Chill,,,,Pout,,,,Human,2152.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2152.png,Azuki #2152,2152
Off White C,Red Floral Kimono,,Relaxed,,Indigo Pixie,,Laughing,,Coin,Sakura,Human,2153.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2153.png,Azuki #2153,2153
Off White C,Frog Yukata,,Chill,,Blonde Swept Back,Frog Headband,Meh,,Fan,,Human,2154.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2154.png,Azuki #2154,2154
Off White B,White Yukata,,Suspicious,,Teal Messy,Backwards Cap,Toothpick,,Skateboard,Fire,Human,2155.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2155.png,Azuki #2155,2155
Off White B,Red Ninja Top,,Concerned,,Magenta Pigtails,Cat Headband,Chewing,,Zanbato,,Human,2156.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2156.png,Azuki #2156,2156
Off White B,Hoodie,,Hopeful,,Magenta Flowy,,Grass,Choker,,,Human,2157.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2157.png,Azuki #2157,2157
Off White D,Suikan,,White,,Indigo Long,,Meh,,Zanbato,,Human,2158.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2158.png,Azuki #2158,2158
Off White A,Suit with Turtleneck,Skull Ear Cuffs,Tired,,Indigo Swept Back,Red Panda Headband,Smirk,,Gloves,,Human,2159.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2159.png,Azuki #2159,2159
Cool Gray,White T-Shirt,,Determined,Round Purple Sunglasses,Blonde Long,,Not Bad,,Leather Katana,Fireflies,Human,,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2160.png,Azuki #2160,2160
Off White D,Black Ninja Top,,White,Red Fang Face Paint,Blonde Bun,,Relaxed,Frog Headphones,,,Human,2161.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2161.png,Azuki #2161,2161
Cool Gray,Kimono with Jacket,,Suspicious,Eye Scar,Blonde Short Spiky,,Closed,,,,Human,2162.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2162.png,Azuki #2162,2162
Off White D,Cat Kigurumi,,Careless,,Blonde Swept Back,,Smirk,,,,Human,2163.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2163.png,Azuki #2163,2163
Off White C,Turquoise Kimono with Bow,,Ruby,,Purple Bun,,Lipstick,,Hand Seal,,Human,2164.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2164.png,Azuki #2164,2164
Off White A,Azuki Sweater,Wireless Earbuds,Closed,Eye Patch,Magenta Long,,Chuckle,,Hand Seal,,Human,2165.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2165.png,Azuki #2165,2165
Off White A,Matsuri Happi,,Closed,Red Stripes Face Paint,Magenta Long,Cowboy Hat,Smirk,Beads,Floorsweeper,,Red,2166.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2166.png,Azuki #2166,2166
Off White A,Golden Cat Kigurumi,,Lightning,,Maroon Bun,,Tactical Knife,,Banner,,Human,2167.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2167.png,Azuki #2167,2167
Dark Purple,Kung Fu Shirt,,Chill,Lipstick Kiss,Indigo Long,,Meh,,Golden Floorsweeper,Butterfly,Human,2168.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2168.png,Azuki #2168,2168
Off White A,Black Perfecto Jacket,,White,,Orange Samurai,Fur Bucket Hat,Not Bad,,,Water,Human,2169.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2169.png,Azuki #2169,2169
Off White D,Blue Bomber,,Pensive,Blue Sunglasses,Green Samurai,Cowboy Hat,Pout,,Golden Bean,,Human,2170.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2170.png,Azuki #2170,2170
Off White C,Black Kimono,,Bored,Eye Scar,Braids,Chef Headband,Pout,Chill Headphones,Skateboard,,Human,2171.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2171.png,Azuki #2171,2171
Off White C,White Blazer,,Careless,Red Stripes Face Paint,Black Pink Long,Straw Hat,Gaiter,Chill Headphones,Sakura Katana,,Human,2172.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2172.png,Azuki #2172,2172
Off White A,Cat Hoodie,Red Spiked Ring,Joyful,,Blue Bun,Purple Kanzashi,Smirk,,,,Human,2173.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2173.png,Azuki #2173,2173
Dark Blue,,,Striking,,Water,,Closed,,Water Orb,Water,Spirit,2174.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2174.png,Azuki #2174,2174
Off White A,Black Hoodie,,Determined,,Maroon Bun,,Closed,,,,Human,2175.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2175.png,Azuki #2175,2175
Off White A,Vest,,Relaxed,,Blonde Pixie,,Chewing,,Lantern,,Human,2176.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2176.png,Azuki #2176,2176
Off White A,Light Kimono,Yin Yang,Bored,Round Blue Sunglasses,Silver Swept Back,,Relaxed,Koi Tattoo,Talisman,,Red,2177.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2177.png,Azuki #2177,2177
Dark Blue,White Layered Yukata,,Tired,,Black Swept Back,Black Bucket Hat,Closed,Zen Headphones,Hand Wrap,,Human,2178.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2178.png,Azuki #2178,2178
Off White D,Brown Yukata,,Curious,,Indigo Disheveled,,Relaxed,,Skateboard,,Human,2179.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2179.png,Azuki #2179,2179
Off White D,Red Panda Kigurumi,,Calm,,Orange Pixie,,Chewing,,Bat,,Human,2180.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2180.png,Azuki #2180,2180
Off White C,Lavender Kimono with Bow,,Closed,,Green Half Bun,,Smile,,,,Human,2181.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2181.png,Azuki #2181,2181
Off White C,Suit with Turtleneck,,Closed,,Maroon Short Spiky,,Closed,,,,Red,2182.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2182.png,Azuki #2182,2182
Off White C,Blue Bikini,Wu,Daydreaming,,Blonde Bun,,Tongue Out,,,,Human,2183.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2183.png,Azuki #2183,2183
Cool Gray,White Layered Yukata,Wireless Earbuds,Pensive,,Brown Disheveled,,Smirk,Beads,Lantern,,Human,2184.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2184.png,Azuki #2184,2184
